"","X1","X2"
"1",1,107
"2",1,113
"3",1,11
"4",1,115
"5",1,116
"6",1,122
"7",1,125
"8",1,130
"9",1,131
"10",1,133
"11",1,135
"12",1,137
"13",1,140
"14",1,14
"15",1,144
"16",1,145
"17",1,148
"18",1,1
"19",1,153
"20",1,15
"21",1,155
"22",1,156
"23",1,158
"24",1,161
"25",1,168
"26",1,173
"27",1,17
"28",1,175
"29",1,181
"30",1,189
"31",1,196
"32",1,20
"33",1,207
"34",1,208
"35",1,211
"36",1,215
"37",1,218
"38",1,226
"39",1,26
"40",1,28
"41",1,31
"42",1,32
"43",1,45
"44",1,47
"45",1,51
"46",1,53
"47",1,56
"48",1,58
"49",1,6
"50",1,77
"51",1,79
"52",1,82
"53",1,83
"54",1,84
"55",1,85
"56",1,86
"57",1,89
"58",1,91
"59",1,93
"60",1,95
"61",1,99
"62",2,240
"63",2,248
"64",2,249
"65",2,251
"66",2,252
"67",2,260
"68",2,261
"69",2,276
"70",2,278
"71",2,282
"72",2,286
"73",2,289
"74",2,291
"75",3,312
"76",3,314
"77",4,334
"78",4,343
"79",4,345
"80",4,346
"81",4,350
"82",4,355
"83",5,357
"84",5,364
"85",5,366
"86",5,369
"87",5,373
"88",5,375
"89",5,385
"90",5,390
"91",7,407
"92",7,408
"93",7,411
"94",7,412
"95",7,413
"96",7,419
"97",7,422
"98",7,423
"99",7,429
"100",7,432
"101",7,433
"102",7,437
"103",7,439
"104",7,441
"105",7,444
"106",7,452
"107",7,461
"108",7,465
"109",7,466
"110",7,472
"111",7,473
"112",7,474
"113",7,475
"114",7,479
"115",7,480
"116",7,483
"117",7,484
"118",7,489
"119",7,492
"120",7,496
"121",7,499
"122",7,500
"123",7,501
"124",7,514
"125",7,516
"126",7,521
"127",7,524
"128",7,525
"129",7,531
"130",7,539
"131",7,545
"132",7,546
"133",7,548
"134",7,551
"135",7,552
"136",7,556
"137",7,558
"138",7,561
"139",7,570
"140",7,572
"141",7,578
"142",7,580
"143",7,591
"144",7,593
"145",7,594
"146",7,597
"147",7,602
"148",7,603
"149",7,606
"150",7,608
"151",7,609
"152",7,616
"153",7,620
"154",8,623
"155",8,627
"156",8,629
"157",8,631
"158",8,638
"159",8,639
"160",9,528
"161",9,651
"162",9,655
"163",9,660
"164",9,661
"165",9,662
"166",9,668
"167",9,670
"168",9,671
"169",9,681
"170",9,682
"171",9,683
"172",9,691
"173",9,692
"174",9,693
"175",9,694
"176",9,696
"177",9,697
"178",9,707
"179",9,714
"180",9,715
"181",9,716
"182",9,717
"183",9,721
"184",9,722
"185",9,724
